"Name","Accession","Chromosome","Start","End","Strand","Confidence"
"mmu-miR-202-3p","MIMAT0000235","","","","",""
"mmu-miR-202-5p","MIMAT0004546","","","","",""
"mmu-mir-203","MI0000246","chr12","112130880","112130955","+","-"
"mmu-mir-203b","MI0040622","chr12","112130887","112130946","-","-"
"mmu-miR-203-3p","MIMAT0000236","","","","",""
"mmu-miR-203-5p","MIMAT0004547","","","","",""
"mmu-miR-203b-5p","MIMAT0049831","","","","",""
"mmu-miR-203b-3p","MIMAT0049832","","","","",""
"mmu-mir-204","MI0000247","chr19","22750605","22750672","+","High"
"mmu-miR-204-5p","MIMAT0000237","","","","",""
"mmu-miR-204-3p","MIMAT0017002","","","","",""
"mmu-mir-205","MI0000248","chr1","193507463","193507530","-","High"
"mmu-miR-205-5p","MIMAT0000238","","","","",""
"mmu-miR-205-3p","MIMAT0017003","","","","",""
"mmu-mir-206","MI0000249","chr1","20679010","20679082","+","-"
"mmu-miR-206-3p","MIMAT0000239","","","","",""
"mmu-miR-206-5p","MIMAT0017004","","","","",""
"mmu-mir-207","MI0000250","chr4","40722917","40722995","+","-"
"mmu-miR-207","MIMAT0000240","","","","",""
"mmu-mir-208a","MI0000555","chr14","54949060","54949142","-","High"
"mmu-mir-208b","MI0005552","chr14","54975700","54975776","-","-"
"mmu-miR-208a-3p","MIMAT0000520","","","","",""
"mmu-miR-208b-3p","MIMAT0004939","","","","",""
"mmu-miR-208a-5p","MIMAT0017014","","","","",""
"mmu-miR-208b-5p","MIMAT0017280","","","","",""
"mmu-mir-210","MI0000695","chr7","141221384","141221493","-","High"
"mmu-miR-210-3p","MIMAT0000658","","","","",""
"mmu-miR-210-5p","MIMAT0017052","","","","",""
"mmu-mir-211","MI0000708","chr7","64205806","64205911","+","High"
"mmu-miR-211-5p","MIMAT0000668","","","","",""
"mmu-miR-211-3p","MIMAT0017059","","","","",""
"mmu-mir-212","MI0000696","chr11","75173388","75173478","+","High"
"mmu-miR-212-3p","MIMAT0000659","","","","",""
"mmu-miR-212-5p","MIMAT0017053","","","","",""
"mmu-mir-214","MI0000698","chr1","162223368","162223477","+","High"
"mmu-miR-214-3p","MIMAT0000661","","","","",""
"mmu-miR-214-5p","MIMAT0004664","","","","",""
"mmu-mir-215","MI0000974","chr1","185313581","185313692","+","High"
"mmu-miR-215-5p","MIMAT0000904","","","","",""
"mmu-miR-215-3p","MIMAT0017169","","","","",""
"mmu-mir-216a","MI0000699","chr11","28757012","28757083","+","High"
"mmu-mir-216b","MI0004126","chr11","28746191","28746276","+","High"
"mmu-mir-216c","MI0025032","chr11","28746198","28746266","-","-"
"mmu-miR-216a-5p","MIMAT0000662","","","","",""
"mmu-miR-216b-5p","MIMAT0003729","","","","",""
"mmu-miR-216a-3p","MIMAT0017054","","","","",""
"mmu-miR-216b-3p","MIMAT0017233","","","","",""
"mmu-miR-216c-5p","MIMAT0029888","","","","",""
"mmu-miR-216c-3p","MIMAT0029889","","","","",""
"mmu-mir-217","MI0000731","chr11","28763728","28763835","+","High"
"mmu-miR-217-5p","MIMAT0000679","","","","",""
"mmu-miR-217-3p","MIMAT0017072","","","","",""
"mmu-mir-218-1","MI0000700","chr5","48223942","48224051","+","High"
"mmu-mir-218-2","MI0000701","chr11","35616816","35616925","+","High"
"mmu-miR-218-5p","MIMAT0000663","","","","",""
"mmu-miR-218-1-3p","MIMAT0004665","","","","",""
"mmu-miR-218-2-3p","MIMAT0005444","","","","",""
"mmu-mir-219a-1","MI0000702","chr17","34024983","34025092","-","High"
"mmu-mir-219a-2","MI0000741","chr2","29845631","29845727","-","High"
"mmu-mir-219b","MI0024990","chr2","29845647","29845711","+","-"
"mmu-mir-219c","MI0025034","chr17","34025012","34025071","+","-"
"mmu-miR-219a-5p","MIMAT0000664","","","","",""
"mmu-miR-219a-1-3p","MIMAT0017055","","","","",""
"mmu-miR-219a-2-3p","MIMAT0022841","","","","",""
"mmu-miR-219b-5p","MIMAT0029806","","","","",""
"mmu-miR-219b-3p","MIMAT0029807","","","","",""
"mmu-miR-219c-5p","MIMAT0029892","","","","",""
"mmu-miR-219c-3p","MIMAT0029893","","","","",""
"mmu-mir-220","MI0005487","","","","","-"
"mmu-mir-221","MI0000709","chrX","19146294","19146388","-","High"
"mmu-miR-221-3p","MIMAT0000669","","","","",""
"mmu-miR-221-5p","MIMAT0017060","","","","",""
"mmu-mir-222","MI0000710","chrX","19146893","19146971","-","High"
"mmu-miR-222-3p","MIMAT0000670","","","","",""
"mmu-miR-222-5p","MIMAT0017061","","","","",""
"mmu-mir-223","MI0000703","chrX","96242817","96242926","+","High"
"mmu-miR-223-3p","MIMAT0000665","","","","",""
"mmu-miR-223-5p","MIMAT0017056","","","","",""
"mmu-mir-224","MI0000711","chrX","72261031","72261112","-","-"
"mmu-miR-224-5p","MIMAT0000671","","","","",""
"mmu-miR-224-3p","MIMAT0017062","","","","",""
"mmu-mir-290a","MI0000388","chr7","3218626","3218708","+","High"
"mmu-mir-290b","MI0025038","chr7","3218638","3218695","-","-"
"mmu-miR-290a-5p","MIMAT0000366","","","","",""
"mmu-miR-290a-3p","MIMAT0004572","","","","",""
"mmu-miR-290b-5p","MIMAT0029900","","","","",""
"mmu-miR-290b-3p","MIMAT0029901","","","","",""
"mmu-mir-291a","MI0000389","chr7","3218919","3219000","+","High"
"mmu-mir-291b","MI0003539","chr7","3219482","3219560","+","High"
"mmu-miR-291a-5p","MIMAT0000367","","","","",""
"mmu-miR-291a-3p","MIMAT0000368","","","","",""
"mmu-miR-291b-5p","MIMAT0003189","","","","",""
"mmu-miR-291b-3p","MIMAT0003190","","","","",""
"mmu-mir-292a","MI0000390","chr7","3219189","3219270","+","High"
"mmu-mir-292b","MI0025020","chr7","3219198","3219259","-","-"
"mmu-miR-292a-5p","MIMAT0000369","","","","",""
"mmu-miR-292a-3p","MIMAT0000370","","","","",""
"mmu-miR-292b-5p","MIMAT0029864","","","","",""
"mmu-miR-292b-3p","MIMAT0029865","","","","",""
"mmu-mir-293","MI0000391","chr7","3220343","3220422","+","High"
"mmu-miR-293-3p","MIMAT0000371","","","","",""
"mmu-miR-293-5p","MIMAT0004573","","","","",""
"mmu-mir-294","MI0000392","chr7","3220641","3220724","+","High"
"mmu-miR-294-3p","MIMAT0000372","","","","",""
"mmu-miR-294-5p","MIMAT0004574","","","","",""
"mmu-mir-295","MI0000393","chr7","3220773","3220841","+","High"
"mmu-miR-295-3p","MIMAT0000373","","","","",""
"mmu-miR-295-5p","MIMAT0004575","","","","",""
"mmu-mir-296","MI0000394","chr2","174267047","174267125","-","High"
"mmu-miR-296-5p","MIMAT0000374","","","","",""
"mmu-miR-296-3p","MIMAT0004576","","","","",""
"mmu-mir-297a-1","MI0000395","chr7","10958437","10958512","-","-"
"mmu-mir-297-2","MI0000396","","","","","-"
"mmu-mir-297a-2","MI0000397","chr2","10472254","10472343","+","-"
"mmu-mir-297b","MI0004674","chr2","10511667","10511775","+","High"
"mmu-mir-297a-3","MI0005488","chr2","10515820","10515921","+","High"
"mmu-mir-297a-4","MI0005489","chr2","10517067","10517164","+","High"
"mmu-mir-297a-5","MI0005490","","","","","-"
"mmu-mir-297a-6","MI0005491","","","","","-"
"mmu-mir-297c","MI0005492","chr2","10509016","10509113","+","High"
"mmu-miR-297a-5p","MIMAT0000375","","","","",""
"mmu-miR-297b-5p","MIMAT0003480","","","","",""
"mmu-miR-297b-3p","MIMAT0004827","","","","",""
"mmu-miR-297a-3p","MIMAT0004864","","","","",""
"mmu-miR-297c-5p","MIMAT0004865","","","","",""
"mmu-miR-297c-3p","MIMAT0004866","","","","",""
"mmu-mir-298","MI0000398","chr2","174267504","174267585","-","High"
"mmu-miR-298-5p","MIMAT0000376","","","","",""
"mmu-miR-298-3p","MIMAT0017007","","","","",""
"mmu-mir-299a","MI0000399","chr12","109710638","109710700","+","High"
"mmu-mir-299b","MI0019180","chr12","109710645","109710693","-","High"
"mmu-miR-299a-5p","MIMAT0000377","","","","",""
"mmu-miR-299a-3p","MIMAT0004577","","","","",""
"mmu-miR-299b-5p","MIMAT0022836","","","","",""
"mmu-miR-299b-3p","MIMAT0022837","","","","",""
"mmu-mir-300","MI0000400","chr12","109724313","109724391","+","High"
"mmu-miR-300-3p","MIMAT0000378","","","","",""
"mmu-miR-300-5p","MIMAT0004578","","","","",""
"mmu-mir-301a","MI0000401","chr11","87113004","87113089","+","High"
"mmu-mir-301b","MI0004122","chr16","17124400","17124496","-","High"
"mmu-miR-301a-3p","MIMAT0000379","","","","",""
"mmu-miR-301b-3p","MIMAT0004186","","","","",""
"mmu-miR-301a-5p","MIMAT0017008","","","","",""
"mmu-miR-301b-5p","MIMAT0017232","","","","",""
"mmu-mir-302a","MI0000402","chr3","127545496","127545564","+","High"
"mmu-mir-302b","MI0003716","chr3","127545228","127545301","+","-"
"mmu-mir-302c","MI0003717","chr3","127545363","127545430","+","High"
"mmu-mir-302d","MI0003718","chr3","127545624","127545689","+","High"
"mmu-miR-302a-3p","MIMAT0000380","","","","",""
"mmu-miR-302b-5p","MIMAT0003373","","","","",""
"mmu-miR-302b-3p","MIMAT0003374","","","","",""
"mmu-miR-302c-5p","MIMAT0003375","","","","",""
"mmu-miR-302c-3p","MIMAT0003376","","","","",""
"mmu-miR-302d-3p","MIMAT0003377","","","","",""
"mmu-miR-302a-5p","MIMAT0004579","","","","",""
"mmu-miR-302d-5p","MIMAT0017225","","","","",""
"mmu-mir-320","MI0000704","chr14","70443510","70443591","+","High"
"mmu-miR-320-3p","MIMAT0000666","","","","",""
"mmu-miR-320-5p","MIMAT0017057","","","","",""
"mmu-mir-321","MI0000705","","","","","-"
"mmu-mir-322","MI0000590","chrX","53054255","53054349","-","High"
"mmu-miR-322-5p","MIMAT0000548","","","","",""
"mmu-miR-322-3p","MIMAT0000549","","","","",""
"mmu-mir-323","MI0000592","chr12","109712508","109712593","+","High"
"mmu-miR-323-3p","MIMAT0000551","","","","",""
"mmu-miR-323-5p","MIMAT0004638","","","","",""
"mmu-mir-324","MI0000595","chr11","70012043","70012131","+","High"
"mmu-miR-324-5p","MIMAT0000555","","","","",""
"mmu-miR-324-3p","MIMAT0000556","","","","",""
"mmu-mir-325","MI0000597","chrX","105379082","105379179","-","High"
"mmu-miR-325-5p","MIMAT0000558","","","","",""
"mmu-miR-325-3p","MIMAT0004640","","","","",""
"mmu-mir-326","MI0000598","chr7","99552269","99552363","+","High"
"mmu-miR-326-3p","MIMAT0000559","","","","",""
"mmu-miR-326-5p","MIMAT0017027","","","","",""
"mmu-mir-327","MI0005493","chr14","44947443","44947511","-","-"
"mmu-miR-327","MIMAT0004867","","","","",""
"mmu-mir-328","MI0000603","chr8","105308364","105308460","-","High"
"mmu-miR-328-3p","MIMAT0000565","","","","",""
"mmu-miR-328-5p","MIMAT0017030","","","","",""
"mmu-mir-329","MI0000605","chr12","109713481","109713577","+","High"
"mmu-miR-329-3p","MIMAT0000567","","","","",""
"mmu-miR-329-5p","MIMAT0017032","","","","",""
"mmu-mir-330","MI0000607","chr7","19181465","19181562","+","High"
"mmu-miR-330-3p","MIMAT0000569","","","","",""
"mmu-miR-330-5p","MIMAT0004642","","","","",""
"mmu-mir-331","MI0000609","chr10","93963768","93963863","-","-"
"mmu-miR-331-3p","MIMAT0000571","","","","",""
"mmu-miR-331-5p","MIMAT0004643","","","","",""
"mmu-mir-335","MI0000817","chr6","30741299","30741396","+","High"
"mmu-miR-335-5p","MIMAT0000766","","","","",""
"mmu-miR-335-3p","MIMAT0004704","","","","",""
"mmu-mir-337","MI0000615","chr12","109585789","109585885","+","High"
"mmu-miR-337-3p","MIMAT0000578","","","","",""
"mmu-miR-337-5p","MIMAT0004644","","","","",""
"mmu-mir-338","MI0000619","chr11","120014765","120014862","-","High"
"mmu-miR-338-3p","MIMAT0000582","","","","",""
"mmu-miR-338-5p","MIMAT0004647","","","","",""
"mmu-mir-339","MI0000621","chr5","139369650","139369745","-","High"
"mmu-miR-339-5p","MIMAT0000584","","","","",""
"mmu-miR-339-3p","MIMAT0004649","","","","",""
"mmu-mir-340","MI0000623","chr11","50069702","50069799","+","High"
"mmu-miR-340-3p","MIMAT0000586","","","","",""
"mmu-miR-340-5p","MIMAT0004651","","","","",""
"mmu-mir-341","MI0000625","chr12","109611500","109611595","+","-"
"mmu-miR-341-3p","MIMAT0000588","","","","",""
"mmu-miR-341-5p","MIMAT0017037","","","","",""
"mmu-mir-342","MI0000627","chr12","108658620","108658718","+","High"
"mmu-miR-342-3p","MIMAT0000590","","","","",""
"mmu-miR-342-5p","MIMAT0004653","","","","",""
"mmu-mir-343","MI0005494","chr7","19386643","19386717","+","-"
"mmu-miR-343","MIMAT0004868","","","","",""
"mmu-mir-344-1","MI0000630","chr7","61877770","61877864","-","-"
"mmu-mir-344d-3","MI0004227","chr7","61726249","61726328","-","High"
"mmu-mir-344d-1","MI0004524","chr7","61683124","61683192","-","-"
"mmu-mir-344d-2","MI0004619","chr7","61685272","61685351","-","-"
"mmu-mir-344-2","MI0005495","chr7","61940027","61940106","-","-"
"mmu-mir-344e","MI0014094","chr7","61735537","61735602","-","-"
"mmu-mir-344b","MI0014095","chr7","61790519","61790581","-","-"
"mmu-mir-344c","MI0014096","chr7","61837311","61837402","-","High"
"mmu-mir-344g","MI0014097","chr7","61982289","61982359","-","-"
"mmu-mir-344f","MI0014098","chr7","62046181","62046248","-","High"
"mmu-mir-344h-1","MI0019196","chr7","61739350","61739409","-","-"
"mmu-mir-344h-2","MI0019197","chr7","61742366","61742425","-","-"
"mmu-mir-344i","MI0019317","chr7","62085223","62085310","-","-"
"mmu-miR-344-3p","MIMAT0000593","","","","",""
"mmu-miR-344d-3-5p","MIMAT0014807","","","","",""
"mmu-miR-344d-3p","MIMAT0014808","","","","",""
"mmu-miR-344d-1-5p","MIMAT0014819","","","","",""
"mmu-miR-344e-5p","MIMAT0014923","","","","",""
"mmu-miR-344e-3p","MIMAT0014924","","","","",""
"mmu-miR-344b-5p","MIMAT0014925","","","","",""
"mmu-miR-344b-3p","MIMAT0014926","","","","",""
"mmu-miR-344c-5p","MIMAT0014927","","","","",""
"mmu-miR-344c-3p","MIMAT0014928","","","","",""
"mmu-miR-344g-5p","MIMAT0014929","","","","",""
"mmu-miR-344g-3p","MIMAT0014930","","","","",""
"mmu-miR-344f-5p","MIMAT0014931","","","","",""
"mmu-miR-344f-3p","MIMAT0014932","","","","",""
"mmu-miR-344d-2-5p","MIMAT0014961","","","","",""
"mmu-miR-344-5p","MIMAT0017038","","","","",""
"mmu-miR-344h-5p","MIMAT0022383","","","","",""
"mmu-miR-344h-3p","MIMAT0022384","","","","",""
"mmu-miR-344i","MIMAT0022503","","","","",""
"mmu-mir-345","MI0000632","chr12","108836973","108837068","+","High"
"mmu-miR-345-5p","MIMAT0000595","","","","",""
"mmu-miR-345-3p","MIMAT0004656","","","","",""
"mmu-mir-346","MI0000634","chr14","34894609","34894706","+","-"
"mmu-miR-346-5p","MIMAT0000597","","","","",""
"mmu-miR-346-3p","MIMAT0017039","","","","",""
"mmu-mir-350","MI0000640","chr1","176772325","176772423","-","High"
"mmu-miR-350-3p","MIMAT0000605","","","","",""
"mmu-miR-350-5p","MIMAT0017040","","","","",""
"mmu-mir-351","MI0000643","chrX","53053255","53053353","-","High"
"mmu-miR-351-5p","MIMAT0000609","","","","",""
"mmu-miR-351-3p","MIMAT0017042","","","","",""
"mmu-mir-361","MI0000761","chrX","113074824","113074893","-","High"
"mmu-miR-361-5p","MIMAT0000704","","","","",""
"mmu-miR-361-3p","MIMAT0017075","","","","",""
"mmu-mir-362","MI0000763","chrX","7241982","7242046","-","High"
"mmu-miR-362-5p","MIMAT0000706","","","","",""
"mmu-miR-362-3p","MIMAT0004684","","","","",""
"mmu-mir-363","MI0000765","chrX","52741693","52741767","-","High"
"mmu-miR-363-3p","MIMAT0000708","","","","",""
"mmu-miR-363-5p","MIMAT0017076","","","","",""
"mmu-mir-365-1","MI0000768","chr16","13453840","13453926","+","High"
"mmu-mir-365-2","MI0001645","chr11","79726400","79726511","+","High"
"mmu-miR-365-3p","MIMAT0000711","","","","",""
"mmu-miR-365-1-5p","MIMAT0017077","","","","",""
"mmu-miR-365-2-5p","MIMAT0017179","","","","",""
"mmu-mir-366","MI0000771","","","","","-"
"mmu-mir-367","MI0003531","chr3","127545733","127545807","+","-"
"mmu-miR-367-3p","MIMAT0003181","","","","",""
"mmu-miR-367-5p","MIMAT0017214","","","","",""
"mmu-mir-368","MI0006129","","","","","-"
"mmu-mir-369","MI0003535","chr12","109743418","109743496","+","High"
"mmu-miR-369-5p","MIMAT0003185","","","","",""
"mmu-miR-369-3p","MIMAT0003186","","","","",""
"mmu-mir-370","MI0001165","chr12","109618258","109618336","+","High"
"mmu-miR-370-3p","MIMAT0001095","","","","",""
"mmu-miR-370-5p","MIMAT0017174","","","","",""
"mmu-mir-374b","MI0004125","chrX","103573060","103573154","-","High"
"mmu-mir-374c","MI0014108","chrX","103573085","103573133","+","High"
"mmu-miR-374b-5p","MIMAT0003727","","","","",""
"mmu-miR-374b-3p","MIMAT0003728","","","","",""
"mmu-miR-374c-5p","MIMAT0014953","","","","",""
"mmu-miR-374c-3p","MIMAT0014954","","","","",""
"mmu-mir-375","MI0000792","chr1","74900658","74900721","-","-"
"mmu-miR-375-3p","MIMAT0000739","","","","",""
"mmu-miR-375-5p","MIMAT0017078","","","","",""
"mmu-mir-376a","MI0000793","chr12","109723781","109723848","+","High"
"mmu-mir-376b","MI0001162","chr12","109723458","109723539","+","High"
"mmu-mir-376c","MI0003533","chr12","109722718","109722803","+","High"
"mmu-miR-376a-3p","MIMAT0000740","","","","",""
"mmu-miR-376b-3p","MIMAT0001092","","","","",""
"mmu-miR-376c-3p","MIMAT0003183","","","","",""
"mmu-miR-376a-5p","MIMAT0003387","","","","",""
"mmu-miR-376b-5p","MIMAT0003388","","","","",""
"mmu-miR-376c-5p","MIMAT0005295","","","","",""
"mmu-mir-377","MI0000794","chr12","109740510","109740577","+","High"
"mmu-miR-377-3p","MIMAT0000741","","","","",""
"mmu-miR-377-5p","MIMAT0017079","","","","",""
"mmu-mir-378a","MI0000795","chr18","61397835","61397900","-","High"
"mmu-mir-378b","MI0016973","chr11","88352773","88352864","+","-"
"mmu-mir-378c","MI0021923","chr14","46954830","46954928","-","-"
"mmu-mir-378d","MI0021951","chr10","126710282","126710391","-","-"
"mmu-miR-378a-5p","MIMAT0000742","","","","",""
"mmu-miR-378a-3p","MIMAT0003151","","","","",""
"mmu-miR-378b","MIMAT0019348","","","","",""
"mmu-miR-378c","MIMAT0025138","","","","",""
"mmu-miR-378d","MIMAT0025167","","","","",""
"mmu-mir-379","MI0000796","chr12","109709060","109709125","+","High"
"mmu-miR-379-5p","MIMAT0000743","","","","",""
"mmu-miR-379-3p","MIMAT0017080","","","","",""
"mmu-mir-380","MI0000797","chr12","109711803","109711863","+","High"
"mmu-miR-380-5p","MIMAT0000744","","","","",""
"mmu-miR-380-3p","MIMAT0000745","","","","",""
"mmu-mir-381","MI0000798","chr12","109726822","109726896","+","High"
"mmu-miR-381-3p","MIMAT0000746","","","","",""
"mmu-miR-381-5p","MIMAT0017081","","","","",""
"mmu-mir-382","MI0000799","chr12","109733771","109733846","+","High"
"mmu-miR-382-5p","MIMAT0000747","","","","",""
"mmu-miR-382-3p","MIMAT0004691","","","","",""
"mmu-mir-383","MI0000800","chr8","38252133","38252202","-","High"
"mmu-miR-383-5p","MIMAT0000748","","","","",""
"mmu-miR-383-3p","MIMAT0017082","","","","",""
"mmu-mir-384","MI0001146","chrX","105344282","105344369","-","High"
"mmu-miR-384-3p","MIMAT0001076","","","","",""
"mmu-miR-384-5p","MIMAT0004745","","","","",""
"mmu-mir-409","MI0001160","chr12","109743158","109743236","+","High"
"mmu-miR-409-3p","MIMAT0001090","","","","",""
"mmu-miR-409-5p","MIMAT0004746","","","","",""
"mmu-mir-410","MI0001161","chr12","109743715","109743795","+","High"
"mmu-miR-410-3p","MIMAT0001091","","","","",""
"mmu-miR-410-5p","MIMAT0017172","","","","",""
"mmu-mir-411","MI0001163","chr12","109710175","109710256","+","High"
"mmu-miR-411-3p","MIMAT0001093","","","","",""
"mmu-miR-411-5p","MIMAT0004747","","","","",""
"mmu-mir-412","MI0001164","chr12","109743289","109743368","+","High"
"mmu-miR-412-3p","MIMAT0001094","","","","",""
"mmu-miR-412-5p","MIMAT0017173","","","","",""
"mmu-mir-421","MI0005496","chrX","103572921","103572996","-","High"
"mmu-miR-421-3p","MIMAT0004869","","","","",""
"mmu-miR-421-5p","MIMAT0017273","","","","",""
"mmu-mir-423","MI0004637","chr11","77078064","77078172","-","High"
"mmu-miR-423-3p","MIMAT0003454","","","","",""
"mmu-miR-423-5p","MIMAT0004825","","","","",""
"mmu-mir-425","MI0001447","chr9","108568777","108568861","+","High"
"mmu-miR-425-3p","MIMAT0001342","","","","",""
"mmu-miR-425-5p","MIMAT0004750","","","","",""
"mmu-mir-429","MI0001642","chr4","156053905","156053987","-","High"
"mmu-miR-429-3p","MIMAT0001537","","","","",""
"mmu-miR-429-5p","MIMAT0017178","","","","",""
"mmu-mir-431","MI0001524","chr12","109590447","109590537","+","-"
"mmu-miR-431-5p","MIMAT0001418","","","","",""
"mmu-miR-431-3p","MIMAT0004753","","","","",""
"mmu-mir-432","MI0012528","chr12","109594956","109595030","+","-"
"mmu-miR-432","MIMAT0012771","","","","",""
"mmu-mir-433","MI0001525","chr12","109591715","109591838","+","High"
"mmu-miR-433-5p","MIMAT0001419","","","","",""
"mmu-miR-433-3p","MIMAT0001420","","","","",""
"mmu-mir-434","MI0001526","chr12","109594506","109594599","+","High"
"mmu-miR-434-5p","MIMAT0001421","","","","",""
"mmu-miR-434-3p","MIMAT0001422","","","","",""
"mmu-mir-448","MI0001638","chrX","147158210","147158321","+","High"
"mmu-miR-448-3p","MIMAT0001533","","","","",""
"mmu-miR-448-5p","MIMAT0017176","","","","",""
"mmu-mir-449a","MI0001649","chr13","113037534","113037624","+","High"
"mmu-mir-449c","MI0004645","chr13","113035983","113036091","+","-"
"mmu-mir-449b","MI0005547","chr13","113037419","113037498","+","-"
"mmu-miR-449a-5p","MIMAT0001542","","","","",""
"mmu-miR-449c-5p","MIMAT0003460","","","","",""
"mmu-miR-449b","MIMAT0005447","","","","",""
"mmu-miR-449a-3p","MIMAT0017180","","","","",""
"mmu-miR-449c-3p","MIMAT0022715","","","","",""
"mmu-mir-450a-1","MI0001653","chrX","53048154","53048244","-","High"
"mmu-mir-450a-2","MI0003537","chrX","53048299","53048367","-","High"
"mmu-mir-450b","MI0004705","chrX","53047997","53048078","-","High"
"mmu-miR-450a-5p","MIMAT0001546","","","","",""
"mmu-miR-450b-5p","MIMAT0003511","","","","",""
"mmu-miR-450b-3p","MIMAT0003512","","","","",""
"mmu-miR-450a-2-3p","MIMAT0004789","","","","",""
"mmu-miR-450a-1-3p","MIMAT0017182","","","","",""
"mmu-mir-451a","MI0001730","chr11","78073170","78073241","+","-"
"mmu-mir-451b","MI0021960","chr11","78073170","78073241","-","-"
"mmu-miR-451a","MIMAT0001632","","","","",""
"mmu-miR-451b","MIMAT0025178","","","","",""
"mmu-mir-452","MI0001734","chrX","72262224","72262308","-","High"
"mmu-miR-452-5p","MIMAT0001637","","","","",""
"mmu-miR-452-3p","MIMAT0017194","","","","",""
"mmu-mir-453","MI0005497","chr12","109735619","109735700","+","-"
"mmu-miR-453","MIMAT0004870","","","","",""
"mmu-mir-P455*","MI0004432","","","","","-"
"mmu-mir-455","MI0004679","chr4","63256851","63256932","+","-"
"mmu-miR-455-5p","MIMAT0003485","","","","",""
"mmu-miR-455-3p","MIMAT0003742","","","","",""
"mmu-mir-463","MI0002398","chrX","66799223","66799297","-","High"
"mmu-miR-463-5p","MIMAT0002104","","","","",""
"mmu-miR-463-3p","MIMAT0004758","","","","",""
"mmu-mir-464","MI0002399","","","","","-"
"mmu-mir-465a","MI0002400","chrX","66839052","66839125","-","-"
"mmu-mir-465b-1","MI0005498","chrX","66829202","66829280","-","High"
"mmu-mir-465b-2","MI0005499","chrX","66835764","66835842","-","High"
"mmu-mir-465c-1","MI0005500","chrX","66825955","66826035","-","High"
"mmu-mir-465c-2","MI0005501","chrX","66832517","66832597","-","High"
"mmu-mir-465d","MI0025028","chrX","66822656","66822713","-","High"
"mmu-miR-465a-5p","MIMAT0002106","","","","",""
"mmu-miR-465a-3p","MIMAT0004217","","","","",""
"mmu-miR-465b-5p","MIMAT0004871","","","","",""
"mmu-miR-465b-3p","MIMAT0004872","","","","",""
"mmu-miR-465c-5p","MIMAT0004873","","","","",""
"mmu-miR-465c-3p","MIMAT0004874","","","","",""
"mmu-miR-465d-5p","MIMAT0029880","","","","",""
"mmu-miR-465d-3p","MIMAT0029881","","","","",""
"mmu-mir-466a","MI0002401","chr2","10507918","10507990","+","-"
"mmu-mir-466b-1","MI0005502","chr2","10474219","10474300","+","-"
"mmu-mir-466b-2","MI0005503","chr2","10498685","10498766","+","-"
"mmu-mir-466b-3","MI0005504","chr2","10503565","10503645","+","-"
"mmu-mir-466c-1","MI0005505","chr2","10481534","10481617","+","-"
"mmu-mir-466e","MI0005506","chr2","10479088","10479171","+","-"
"mmu-mir-466f-1","MI0005507","chr2","10466944","10467037","+","-"
"mmu-mir-466f-2","MI0005508","chr2","10468675","10468768","+","-"
"mmu-mir-466f-3","MI0005509","chr2","10471953","10472046","+","-"
"mmu-mir-466g","MI0005510","chr2","10514595","10514674","+","-"
"mmu-mir-466h","MI0005511","chr2","10514891","10514971","+","-"
"mmu-mir-466d","MI0005546","chr2","10511967","10512062","+","High"
"mmu-mir-466l","MI0006278","chr2","10516097","10516217","+","High"
"mmu-mir-466i","MI0006282","chr13","17747473","17747593","+","Low"
"mmu-mir-466f-4","MI0006291","chr13","71107089","71107209","+","-"
"mmu-mir-466k","MI0006292","chr3","85467377","85467498","+","-"
"mmu-mir-466j","MI0006295","chr10","60960723","60960844","+","-"
"mmu-mir-466m","MI0014050","chr2","10466663","10466746","+","-"
"mmu-mir-466o","MI0014052","chr2","10472540","10472623","+","-"
"mmu-mir-466c-2","MI0014057","chr2","10483966","10484055","+","-"
"mmu-mir-466b-4","MI0014060","chr2","10486423","10486512","+","-"
"mmu-mir-466b-5","MI0014063","chr2","10488887","10488974","+","-"
"mmu-mir-466b-6","MI0014067","chr2","10493798","10493887","+","-"
"mmu-mir-466b-7","MI0014070","chr2","10496268","10496355","+","-"
"mmu-mir-466p","MI0014078","chr2","10506006","10506094","+","-"
"mmu-mir-466n","MI0014079","chr2","10513741","10513834","+","High"
"mmu-mir-466b-8","MI0014112","chr2","10476628","10476713","+","-"
"mmu-mir-466q","MI0018032","chr3","28419943","28420018","+","Low"
"mmu-mir-466c-3","MI0031753","chr2","10491336","10491425","+","-"
"mmu-miR-466a-3p","MIMAT0002107","","","","",""
"mmu-miR-466a-5p","MIMAT0004759","","","","",""
"mmu-miR-466b-5p","MIMAT0004875","","","","",""
"mmu-miR-466b-3p","MIMAT0004876","","","","",""
"mmu-miR-466c-5p","MIMAT0004877","","","","",""
"mmu-miR-466c-3p","MIMAT0004878","","","","",""
"mmu-miR-466e-5p","MIMAT0004879","","","","",""
"mmu-miR-466e-3p","MIMAT0004880","","","","",""
"mmu-miR-466f-5p","MIMAT0004881","","","","",""
"mmu-miR-466f-3p","MIMAT0004882","","","","",""
"mmu-miR-466g","MIMAT0004883","","","","",""
"mmu-miR-466h-5p","MIMAT0004884","","","","",""
"mmu-miR-466d-5p","MIMAT0004930","","","","",""
"mmu-miR-466d-3p","MIMAT0004931","","","","",""
"mmu-miR-466l-3p","MIMAT0005830","","","","",""
"mmu-miR-466i-3p","MIMAT0005834","","","","",""
