Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM6702017	"RSB241-282 [Medetomidine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107925"	SRX18107925	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702018	"RSB241-165 [Sumatriptan Succinate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107926"	SRX18107926	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702019	"RSB241-294 [MK-801 (Dizocilpine)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107025"	SRX18107025	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702020	"RSB241-318 [Atovaquone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107026"	SRX18107026	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702021	"RSB241-159 [Detomidine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107027"	SRX18107027	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702022	"RSB241-59 [Tropicamide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107028"	SRX18107028	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702023	"RSB241-301 [Nifedipine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107029"	SRX18107029	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702024	"RSB241-344 [Moguisteine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107030"	SRX18107030	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702025	"RSB241-157 [Trimebutine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107031"	SRX18107031	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702026	"RSB241-206 [Torin 2]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107032"	SRX18107032	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702027	"RSB241-236 [JNJ-1661010]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107757"	SRX18107757	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702028	"RSB241-210 [Pifithrin-?]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107758"	SRX18107758	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702029	"RSB241-141 [Doripenem Hydrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107759"	SRX18107759	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702030	"RSB241-147 [Argatroban]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107760"	SRX18107760	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702031	"RSB241-79 [Rufinamide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107761"	SRX18107761	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702032	"RSB241-127 [Captopril]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107762"	SRX18107762	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702033	"RSB241-125 [Pioglitazone HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107763"	SRX18107763	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702034	"RSB241-218 [Sitaxentan sodium]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107764"	SRX18107764	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702035	"RSB241-226 [AM251]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107417"	SRX18107417	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702036	"RSB241-285 [L-(+)-Rhamnose Monohydrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107418"	SRX18107418	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702037	"RSB241-308 [Vanillin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107419"	SRX18107419	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702038	"RSB241-348 [Pidotimod]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107420"	SRX18107420	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702039	"RSB241-342 [2-Thiouracil]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107421"	SRX18107421	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702040	"RSB241-350 [Pyridoxine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107422"	SRX18107422	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702041	"RSB241-334 [TG100713]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107423"	SRX18107423	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702042	"RSB241-113 [PF-573228]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107424"	SRX18107424	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702043	"RSB241-290 [MRS 2578]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107927"	SRX18107927	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702044	"RSB241-208 [CI994 (Tacedinaline)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107928"	SRX18107928	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702045	"RSB241-269 [Pitavastatin Calcium]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107929"	SRX18107929	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702046	"RSB241-336 [T0070907]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107930"	SRX18107930	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702047	"RSB241-304 [VU 0364770]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107931"	SRX18107931	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702048	"RSB163-367 [(+)-Bicuculline]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107932"	SRX18107932	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702049	"RSB163-42 [(+,-)-Octopamine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107933"	SRX18107933	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702050	"RSB163-338 [(R)-Nepicastat HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107934"	SRX18107934	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702051	"RSB163-206 [Acebutolol HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107033"	SRX18107033	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702052	"RSB163-222 [Aclidinium Bromide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107034"	SRX18107034	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702053	"RSB163-40 [Adrenalone HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107035"	SRX18107035	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702054	"RSB163-153 [Alizapride HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107036"	SRX18107036	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702055	"RSB163-275 [Amfenac Sodium Monohydrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107037"	SRX18107037	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702056	"RSB163-196 [Amidopyrine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107038"	SRX18107038	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702057	"RSB163-137 [Aminothiazole]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107039"	SRX18107039	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702058	"RSB163-39 [Amitriptyline HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107040"	SRX18107040	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702059	"RSB163-32 [Ampicillin sodium]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107765"	SRX18107765	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702060	"RSB163-207 [Ampiroxicam]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107766"	SRX18107766	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702061	"RSB163-272 [Amprolium HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107767"	SRX18107767	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702062	"RSB163-138 [Antazoline HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107768"	SRX18107768	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702063	"RSB163-23 [Articaine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107769"	SRX18107769	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702064	"RSB163-213 [Avanafil]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107770"	SRX18107770	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702065	"RSB163-46 [Azacyclonol]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107771"	SRX18107771	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702066	"RSB163-133 [Azaguanine-8]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107772"	SRX18107772	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702067	"RSB163-298 [Azaperone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107425"	SRX18107425	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702068	"RSB163-356 [AZD3514]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107426"	SRX18107426	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702069	"RSB163-45 [Azlocillin sodium salt]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107427"	SRX18107427	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702070	"RSB163-273 [Bacitracin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107428"	SRX18107428	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702071	"RSB163-292 [Benzocaine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107429"	SRX18107429	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702072	"RSB163-105 [Benzoic Acid]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107430"	SRX18107430	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702073	"RSB163-30 [Benztropine mesylate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107431"	SRX18107431	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702074	"RSB163-315 [Bergapten]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107432"	SRX18107432	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702075	"RSB163-35 [Betahistine 2HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107935"	SRX18107935	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702076	"RSB163-198 [Betulinic acid]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107936"	SRX18107936	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702077	"RSB163-279 [Bezafibrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107937"	SRX18107937	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702078	"RSB163-12 [Biotin (Vitamin B7)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107938"	SRX18107938	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702079	"RSB163-59 [Bisacodyl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107939"	SRX18107939	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702080	"RSB163-358 [BMN 673]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107940"	SRX18107940	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702081	"RSB163-161 [Brimonidine Tartrate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107941"	SRX18107941	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702082	"RSB163-36 [Brinzolamide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107942"	SRX18107942	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702083	"RSB163-322 [Bromfenac Sodium]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107041"	SRX18107041	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702084	"RSB163-60 [Carbimazole]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107042"	SRX18107042	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702085	"RSB163-267 [Carprofen]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107043"	SRX18107043	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702086	"RSB163-314 [Cepharanthine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107044"	SRX18107044	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702087	"RSB163-317 [Cetrimonium Bromide (CTAB)]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107045"	SRX18107045	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702088	"RSB163-361 [CGI1746]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107046"	SRX18107046	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702089	"RSB163-291 [Chlorocresol]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107047"	SRX18107047	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702090	"RSB163-110 [Chlorpropamide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107048"	SRX18107048	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702091	"RSB163-278 [Chlorzoxazone]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107773"	SRX18107773	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702092	"RSB163-114 [Choline Chloride]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107774"	SRX18107774	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702093	"RSB163-370 [Cilengitide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107775"	SRX18107775	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702094	"RSB163-130 [Cinchophen]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107776"	SRX18107776	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702095	"RSB163-249 [Clofazimine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107777"	SRX18107777	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702096	"RSB163-289 [Clofibric Acid]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107778"	SRX18107778	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702097	"RSB163-266 [Clorprenaline HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107779"	SRX18107779	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702098	"RSB163-210 [Cyclamic  acid]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107780"	SRX18107780	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702099	"RSB163-269 [Cyclizine 2HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107433"	SRX18107433	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702100	"RSB163-111 [Cyromazine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107434"	SRX18107434	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702101	"RSB163-144 [Cysteamine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107435"	SRX18107435	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702102	"RSB163-19 [Darifenacin HBr]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107436"	SRX18107436	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702103	"RSB163-265 [Deoxyarbutin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107437"	SRX18107437	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702104	"RSB163-208 [Desloratadine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107438"	SRX18107438	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702105	"RSB163-254 [Desvenlafaxine]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107439"	SRX18107439	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702106	"RSB163-253 [Desvenlafaxine Succinate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107440"	SRX18107440	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702107	"RSB163-242 [Dexlansoprazole]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107943"	SRX18107943	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702108	"RSB163-162 [Diacerein]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107944"	SRX18107944	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702109	"RSB163-226 [Dibucaine HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107945"	SRX18107945	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702110	"RSB163-184 [Dicoumarol]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107946"	SRX18107946	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702111	"RSB163-94 [Difluprednate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107947"	SRX18107947	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702112	"RSB163-177 [Digoxin]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107948"	SRX18107948	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702113	"RSB163-270 [Dinitolmide]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107949"	SRX18107949	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702114	"RSB163-223 [Diphemanil Methylsulfate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107950"	SRX18107950	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702115	"RSB163-225 [Doxapram HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107049"	SRX18107049	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702116	"RSB163-203 [Doxycycline HCl]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107050"	SRX18107050	"Zhiyun Wei"	"Oct 19, 2023"
GSM6702117	"RSB163-316 [Doxylamine Succinate]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107051"	SRX18107051	"Zhiyun Wei"	"Oct 19, 2023"
