study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_accession,run_total_spots,run_total_bases
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107157,GSM6702503: RSB196-62 [Trilostane]; Homo sapiens; miRNA-Seq,GSM6702503: RSB196-62 [Trilostane]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702503,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610037,,SAMN31554406,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,846002,25845436,SRR22127504,846002,63450150
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107156,GSM6702502: RSB196-302 [Drospirenone]; Homo sapiens; miRNA-Seq,GSM6702502: RSB196-302 [Drospirenone]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702502,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610038,,SAMN31554407,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,541363,16355311,SRR22127505,541363,40602225
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107155,GSM6702501: RSB196-255 [XAV-939]; Homo sapiens; miRNA-Seq,GSM6702501: RSB196-255 [XAV-939]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702501,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610036,,SAMN31554408,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,525124,16787490,SRR22127506,525124,39384300
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107154,GSM6702500: RSB196-109 [Nilotinib (AMN-107)]; Homo sapiens; miRNA-Seq,GSM6702500: RSB196-109 [Nilotinib (AMN-107)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702500,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610034,,SAMN31554409,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,822431,25281953,SRR22127507,822431,61682325
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107153,GSM6702499: RSB196-238 [Etomidate]; Homo sapiens; miRNA-Seq,GSM6702499: RSB196-238 [Etomidate]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702499,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610035,,SAMN31554410,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,938600,28781820,SRR22127508,938600,70395000
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107152,GSM6702474: RSB196-339 [PIK-75]; Homo sapiens; miRNA-Seq,GSM6702474: RSB196-339 [PIK-75]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702474,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610033,,SAMN31554435,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,79441,2663407,SRR22127509,79441,5958075
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107151,GSM6702473: RSB196-280 [Alprostadil]; Homo sapiens; miRNA-Seq,GSM6702473: RSB196-280 [Alprostadil]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702473,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610032,,SAMN31554436,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,520919,15758337,SRR22127510,520919,39068925
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107150,GSM6702472: RSB196-336 [Pelitinib (EKB-569)]; Homo sapiens; miRNA-Seq,GSM6702472: RSB196-336 [Pelitinib (EKB-569)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702472,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610031,,SAMN31554437,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,902972,29403999,SRR22127511,902972,67722900
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107149,GSM6702471: RSB196-240 [Fluconazole]; Homo sapiens; miRNA-Seq,GSM6702471: RSB196-240 [Fluconazole]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702471,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610030,,SAMN31554438,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1340756,42473504,SRR22127512,1340756,100556700
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107148,GSM6702470: RSB196-194 [Bumetanide]; Homo sapiens; miRNA-Seq,GSM6702470: RSB196-194 [Bumetanide]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702470,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610029,,SAMN31554439,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,278577,8236743,SRR22127513,278577,20893275
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107147,GSM6702469: RSB196-304 [Ruxolitinib (INCB018424)]; Homo sapiens; miRNA-Seq,GSM6702469: RSB196-304 [Ruxolitinib (INCB018424)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702469,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610028,,SAMN31554440,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,543763,16807821,SRR22127514,543763,40782225
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107146,GSM6702468: RSB196-320 [BIX 02188]; Homo sapiens; miRNA-Seq,GSM6702468: RSB196-320 [BIX 02188]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702468,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610027,,SAMN31554441,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,491526,15019166,SRR22127515,491526,36864450
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107145,GSM6702467: RSB196-270 [GSK1059615]; Homo sapiens; miRNA-Seq,GSM6702467: RSB196-270 [GSK1059615]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702467,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610025,,SAMN31554442,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,260457,7204454,SRR22127516,260457,19534275
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107144,GSM6702442: RSB196-7 [nc-DMSO rep4-6]; Homo sapiens; miRNA-Seq,GSM6702442: RSB196-7 [nc-DMSO rep4-6]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702442,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610026,,SAMN31554467,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2293922,70270879,SRR22127517,2293922,172044150
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107143,GSM6702441: RSB196-26 [nc-DMSO rep4-5]; Homo sapiens; miRNA-Seq,GSM6702441: RSB196-26 [nc-DMSO rep4-5]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702441,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610024,,SAMN31554468,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1806877,55614924,SRR22127518,1806877,135515775
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107142,GSM6702440: RSB196-10 [nc-DMSO rep4-4]; Homo sapiens; miRNA-Seq,GSM6702440: RSB196-10 [nc-DMSO rep4-4]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702440,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610022,,SAMN31554469,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1831463,56385521,SRR22127519,1831463,137359725
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107141,GSM6702439: RSB196-23 [nc-DMSO rep4-3]; Homo sapiens; miRNA-Seq,GSM6702439: RSB196-23 [nc-DMSO rep4-3]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702439,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610023,,SAMN31554470,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2735448,83623754,SRR22127520,2735448,205158600
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107140,GSM6702438: RSB196-8 [nc-DMSO rep4-2]; Homo sapiens; miRNA-Seq,GSM6702438: RSB196-8 [nc-DMSO rep4-2]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702438,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610021,,SAMN31554471,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1505948,46206814,SRR22127521,1505948,112946100
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107139,GSM6702437: RSB196-24 [nc-DMSO rep4-1]; Homo sapiens; miRNA-Seq,GSM6702437: RSB196-24 [nc-DMSO rep4-1]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702437,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610020,,SAMN31554472,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1162826,35400135,SRR22127522,1162826,87211950
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107138,GSM6702436: RSB196-360 [pc-Forskolin rep4-4]; Homo sapiens; miRNA-Seq,GSM6702436: RSB196-360 [pc-Forskolin rep4-4]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702436,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610019,,SAMN31554473,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2527613,75393023,SRR22127523,2527613,189570975
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107137,GSM6702435: RSB196-359 [pc-Forskolin rep4-3]; Homo sapiens; miRNA-Seq,GSM6702435: RSB196-359 [pc-Forskolin rep4-3]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702435,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610017,,SAMN31554474,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2060143,61467771,SRR22127524,2060143,154510725
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107136,GSM6702410: RSB181-125 [TAK-632]; Homo sapiens; miRNA-Seq,GSM6702410: RSB181-125 [TAK-632]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702410,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610018,,SAMN31554499,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2421915,70729800,SRR22127525,2421915,181643625
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107135,GSM6702409: RSB181-144 [HO-3867]; Homo sapiens; miRNA-Seq,GSM6702409: RSB181-144 [HO-3867]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702409,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610016,,SAMN31554500,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2316868,70225157,SRR22127526,2316868,173765100
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107308,GSM6703070: RSB217-243 [Trospium chloride]; Homo sapiens; miRNA-Seq,GSM6703070: RSB217-243 [Trospium chloride]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703070,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610189,,SAMN31553839,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,55946,1675942,SRR22127527,55946,4195950
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107307,GSM6703069: RSB217-242 [Ciclopirox ethanolamine]; Homo sapiens; miRNA-Seq,GSM6703069: RSB217-242 [Ciclopirox ethanolamine]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703069,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610187,,SAMN31553840,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,124281,3613097,SRR22127528,124281,9321075
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107306,GSM6703068: RSB217-239 [Sodium Danshensu]; Homo sapiens; miRNA-Seq,GSM6703068: RSB217-239 [Sodium Danshensu]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703068,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610188,,SAMN31553841,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1617459,46029125,SRR22127529,1617459,121309425
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107305,GSM6703067: RSB217-238 [YO-01027]; Homo sapiens; miRNA-Seq,GSM6703067: RSB217-238 [YO-01027]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703067,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610186,,SAMN31553842,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,559140,15756405,SRR22127530,559140,41935500
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107304,GSM6703050: RSB217-219 [Ceftiofur HCl]; Homo sapiens; miRNA-Seq,GSM6703050: RSB217-219 [Ceftiofur HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703050,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610185,,SAMN31553859,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1044695,28567320,SRR22127531,1044695,78352125
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107303,GSM6703049: RSB217-218 [Zaltoprofen]; Homo sapiens; miRNA-Seq,GSM6703049: RSB217-218 [Zaltoprofen]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703049,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610184,,SAMN31553860,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1160938,32967294,SRR22127532,1160938,87070350
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107302,GSM6703048: RSB217-217 [Phenformin HCl]; Homo sapiens; miRNA-Seq,GSM6703048: RSB217-217 [Phenformin HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703048,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610183,,SAMN31553861,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,201835,5866622,SRR22127533,201835,15137625
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107301,GSM6703047: RSB217-216 [Zanamivir]; Homo sapiens; miRNA-Seq,GSM6703047: RSB217-216 [Zanamivir]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703047,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610182,,SAMN31553862,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,770164,21686598,SRR22127534,770164,57762300
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107300,GSM6703046: RSB217-215 [Secnidazole]; Homo sapiens; miRNA-Seq,GSM6703046: RSB217-215 [Secnidazole]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703046,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610181,,SAMN31553863,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,406620,11570326,SRR22127535,406620,30496500
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107299,GSM6703045: RSB217-214 [Clevudine]; Homo sapiens; miRNA-Seq,GSM6703045: RSB217-214 [Clevudine]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703045,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610180,,SAMN31553864,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,529529,15108864,SRR22127536,529529,39714675
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107298,GSM6703044: RSB217-212 [Carbazochrome sodium sulfonate (AC-17)]; Homo sapiens; miRNA-Seq,GSM6703044: RSB217-212 [Carbazochrome sodium sulfonate (AC-17)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703044,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610179,,SAMN31553865,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,73775,2172280,SRR22127537,73775,5533125
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107297,GSM6703043: RSB217-210 [CHIR-99021 (CT99021) HCl]; Homo sapiens; miRNA-Seq,GSM6703043: RSB217-210 [CHIR-99021 (CT99021) HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703043,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610178,,SAMN31553866,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,205803,5968645,SRR22127538,205803,15435225
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107296,GSM6703018: RSB217-179 [Maprotiline HCl]; Homo sapiens; miRNA-Seq,GSM6703018: RSB217-179 [Maprotiline HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703018,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610176,,SAMN31553891,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,52885,1606382,SRR22127539,52885,3966375
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107295,GSM6703017: RSB217-177 [Vardenafil HCl Trihydrate]; Homo sapiens; miRNA-Seq,GSM6703017: RSB217-177 [Vardenafil HCl Trihydrate]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703017,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610177,,SAMN31553892,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,44134,1343923,SRR22127540,44134,3310050
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107294,GSM6703016: RSB217-176 [Ibrutinib (PCI-32765)]; Homo sapiens; miRNA-Seq,GSM6703016: RSB217-176 [Ibrutinib (PCI-32765)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703016,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610175,,SAMN31553893,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2337422,65296105,SRR22127541,2337422,175306650
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107293,GSM6703015: RSB217-175 [Aloin]; Homo sapiens; miRNA-Seq,GSM6703015: RSB217-175 [Aloin]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703015,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610174,,SAMN31553894,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,2206956,61984647,SRR22127542,2206956,165521700
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107292,GSM6703014: RSB217-174 [BRL-15572]; Homo sapiens; miRNA-Seq,GSM6703014: RSB217-174 [BRL-15572]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703014,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610173,,SAMN31553895,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1469598,40986888,SRR22127543,1469598,110219850
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107291,GSM6703013: RSB217-173 [5-hydroxytryptophan (5-HTP)]; Homo sapiens; miRNA-Seq,GSM6703013: RSB217-173 [5-hydroxytryptophan (5-HTP)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703013,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610172,,SAMN31553896,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1472541,41136269,SRR22127544,1472541,110440575
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107290,GSM6703012: RSB217-172 [A922500]; Homo sapiens; miRNA-Seq,GSM6703012: RSB217-172 [A922500]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703012,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610171,,SAMN31553897,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,201227,6090909,SRR22127545,201227,15092025
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107289,GSM6703011: RSB217-171 [Yohimbine HCl]; Homo sapiens; miRNA-Seq,GSM6703011: RSB217-171 [Yohimbine HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6703011,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610170,,SAMN31553898,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,902042,26253255,SRR22127546,902042,67653150
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107288,GSM6702986: RSB217-142 [Clinofibrate]; Homo sapiens; miRNA-Seq,GSM6702986: RSB217-142 [Clinofibrate]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702986,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610169,,SAMN31553923,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,757069,21007758,SRR22127547,757069,56780175
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107287,GSM6702985: RSB217-140 [WAY-100635 Maleate]; Homo sapiens; miRNA-Seq,GSM6702985: RSB217-140 [WAY-100635 Maleate]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702985,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610167,,SAMN31553924,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,510427,14253536,SRR22127548,510427,38282025
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107286,GSM6702984: RSB217-139 [Silibinin]; Homo sapiens; miRNA-Seq,GSM6702984: RSB217-139 [Silibinin]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702984,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610168,,SAMN31553925,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1635372,44916154,SRR22127549,1635372,122652900
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107285,GSM6702983: RSB217-138 [WYE-125132 (WYE-132)]; Homo sapiens; miRNA-Seq,GSM6702983: RSB217-138 [WYE-125132 (WYE-132)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702983,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610166,,SAMN31553926,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,727861,20265449,SRR22127550,727861,54589575
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107284,GSM6702982: RSB217-137 [Shikimic Acid]; Homo sapiens; miRNA-Seq,GSM6702982: RSB217-137 [Shikimic Acid]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702982,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610165,,SAMN31553927,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1011010,27971591,SRR22127551,1011010,75825750
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107283,GSM6702981: RSB217-136 [MK-0752]; Homo sapiens; miRNA-Seq,GSM6702981: RSB217-136 [MK-0752]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702981,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610164,,SAMN31553928,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,305308,8809825,SRR22127552,305308,22898100
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107282,"GSM6702980: RSB217-134 [5-hydroxymethyl Tolterodine (PNU 200577, 5-HMT, 5-HM)]; Homo sapiens; miRNA-Seq","GSM6702980: RSB217-134 [5-hydroxymethyl Tolterodine (PNU 200577, 5-HMT, 5-HM)]; Homo sapiens; miRNA-Seq",9606,Homo sapiens,GSM6702980,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15610163,,SAMN31553929,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,46680,1419656,SRR22127553,46680,3501000
